raw_name,canonical_name,entity_type,source_url,matched,startup_name
catalyst,,PRODUCT,https://github.com/catalyst-team/catalyst,False,catalyst-team
FCOS,,PRODUCT,https://github.com/tianzhi0549/FCOS,False,tianzhi0549
openvino_notebooks,,PRODUCT,https://github.com/openvinotoolkit/openvino_notebooks,False,openvinotoolkit
ComputeLibrary,,PRODUCT,https://github.com/ARM-software/ComputeLibrary,False,ARM-software
MASt3R-SLAM,,PRODUCT,https://github.com/rmurai0610/MASt3R-SLAM,False,rmurai0610
deepsparse,,PRODUCT,https://github.com/neuralmagic/deepsparse,False,neuralmagic
3DDFA_V2,,PRODUCT,https://github.com/cleardusk/3DDFA_V2,False,cleardusk
WebPlotDigitizer,,PRODUCT,https://github.com/automeris-io/WebPlotDigitizer,False,automeris-io
handong1587.github.io,,PRODUCT,https://github.com/handong1587/handong1587.github.io,False,handong1587
torchscale,,PRODUCT,https://github.com/microsoft/torchscale,False,microsoft
mmdeploy,,PRODUCT,https://github.com/open-mmlab/mmdeploy,False,open-mmlab
VLM_survey,,PRODUCT,https://github.com/jingyi0000/VLM_survey,False,jingyi0000
habitat-lab,,PRODUCT,https://github.com/facebookresearch/habitat-lab,False,facebookresearch
tencent-ml-images,,PRODUCT,https://github.com/Tencent/tencent-ml-images,False,Tencent
covid-chestxray-dataset,,PRODUCT,https://github.com/ieee8023/covid-chestxray-dataset,False,ieee8023
awesome-image-classification,,PRODUCT,https://github.com/weiaicunzai/awesome-image-classification,False,weiaicunzai
DeepCamera,,PRODUCT,https://github.com/SharpAI/DeepCamera,False,SharpAI
pythoncode-tutorials,,PRODUCT,https://github.com/x4nth055/pythoncode-tutorials,False,x4nth055
openvslam,,PRODUCT,https://github.com/xdspacelab/openvslam,False,xdspacelab
mAP,,PRODUCT,https://github.com/Cartucho/mAP,False,Cartucho
MinkowskiEngine,,PRODUCT,https://github.com/NVIDIA/MinkowskiEngine,False,NVIDIA
self-driving-car,,PRODUCT,https://github.com/ndrplz/self-driving-car,False,ndrplz
PocketFlow,,PRODUCT,https://github.com/Tencent/PocketFlow,False,Tencent
ml-surveys,,PRODUCT,https://github.com/eugeneyan/ml-surveys,False,eugeneyan
best_AI_papers_2021,,PRODUCT,https://github.com/louisfb01/best_AI_papers_2021,False,louisfb01
a-PyTorch-Tutorial-to-Image-Captioning,,PRODUCT,https://github.com/sgrvinod/a-PyTorch-Tutorial-to-Image-Captioning,False,sgrvinod
comic-translate,,PRODUCT,https://github.com/ogkalu2/comic-translate,False,ogkalu2
ICCV2025-Papers-with-Code,,PRODUCT,https://github.com/amusi/ICCV2025-Papers-with-Code,False,amusi
computer-vision-in-action,,PRODUCT,https://github.com/Charmve/computer-vision-in-action,False,Charmve
DINO,,PRODUCT,https://github.com/IDEA-Research/DINO,False,IDEA-Research
knockknock,,PRODUCT,https://github.com/huggingface/knockknock,False,huggingface
